image_path,value
captured_images/capture_m30c_preview.png,-30
captured_images/capture_m19c.png,-19
captured_images/capture_m18c.png,-18
captured_images/capture_m10c_preview.png,-10
captured_images/capture_0c_preview.png,0
captured_images/capture_p5c.png,5
captured_images/capture_p10c_preview.png,10
captured_images/capture_0008.png,22
captured_images/capture_0007.png,18
captured_images/capture_0075.png,19
captured_images/capture_2026-04-03_15-46-04.png,19
captured_images/capture_p20c_preview.png,20
captured_images/capture_p30c.png,30
captured_images/capture_2026-04-03_13-48-34.png,30
captured_images/capture_p35c_preview.png,35
captured_images/capture_p45c.png,45
captured_images/capture_2026-04-03_08-20-49.png,45
captured_images/capture_0073.png,46
captured_images/capture_p50c_preview.png,50
captured_images/today_converted/capture_2026-04-09_06-41-57.png,30
captured_images/today_converted/capture_2026-04-09_06-50-28.png,30
captured_images/today_converted/capture_2026-04-09_06-51-13.png,30
